без	ADP
безо	ADP
благодаря	ADP
близ	ADP
в	ADP
в_течение	ADP
вблизи	ADP
ввиду	ADP
вглубь	ADP
вдоль	ADP
взамен	ADP
включая	ADP
вкруг	ADP
вместо	ADP
вне	ADP
внизу	ADP
внутри	ADP
внутрь	ADP
во	ADP
во_время	ADP
возле	ADP
вокруг	ADP
вопреки	ADP
впереди	ADP
вроде	ADP
вслед	ADP
вследствие	ADP
для	ADP
до	ADP
за	ADP
заместо	ADP
из	ADP
из-за	ADP
из-под	ADP
изнутри	ADP
изо	ADP
к	ADP
касательно	ADP
ко	ADP
кроме	ADP
меж	ADP
между	ADP
мимо	ADP
на	ADP
навроде	ADP
навстречу	ADP
над	ADP
надо	ADP
назад	ADP
накануне	ADP
наподобие	ADP
напротив	ADP
насчёт	ADP
о	ADP
об	ADP
обо	ADP
около	ADP
от	ADP
относительно	ADP
ото	ADP
параллельно	ADP
перед	ADP
передо	ADP
по	ADP
по-над	ADP
по_мере	ADP
поверх	ADP
под	ADP
подле	ADP
подо	ADP
подобно	ADP
позади	ADP
помимо	ADP
поперёк	ADP
порядка	ADP
посередине	ADP
после	ADP
посреди	ADP
посредине	ADP
превыше	ADP
пред	ADP
предо	ADP
прежде	ADP
при	ADP
про	ADP
против	ADP
ради	ADP
с	ADP
сверх	ADP
свыше	ADP
сквозь	ADP
снаружи	ADP
со	ADP
согласно	ADP
сообразно	ADP
соответственно	ADP
соразмерно	ADP
спустя	ADP
среди	ADP
средь	ADP
супротив	ADP
типа	ADP
тому_назад	ADP
у	ADP
через	ADP
чрез	ADP
+	CONJ
а	CONJ
а_именно	CONJ
а_не_то	CONJ
а_также	CONJ
а_то	CONJ
а_то_и	CONJ
аки	CONJ
благо	CONJ
буде	CONJ
будто	CONJ
в_то_время_как	CONJ
ведь	CONJ
да	CONJ
дабы	CONJ
едва	CONJ
ежели	CONJ
если	CONJ
зато	CONJ
и	CONJ
и/или	CONJ
ибо	CONJ
или	CONJ
иначе	CONJ
кабы	CONJ
как	CONJ
как_будто	CONJ
как_если_бы	CONJ
как_только	CONJ
когда	CONJ
коли	CONJ
коль	CONJ
либо	CONJ
лишь	CONJ
минус	CONJ
насколько	CONJ
не_то	CONJ
нежели	CONJ
ни	CONJ
но	CONJ
однако	CONJ
отсюда	CONJ
оттого_что	CONJ
плюс	CONJ
по_мере_того_как	CONJ
пока	CONJ
покамест	CONJ
покуда	CONJ
поскольку	CONJ
потому_как	CONJ
потому_что	CONJ
прежде_чем	CONJ
пускай	CONJ
пусть	CONJ
раз	CONJ
с	CONJ
сколько	CONJ
словно	CONJ
со	CONJ
т._е.	CONJ
т.к.	CONJ
так	CONJ
так_как	CONJ
так_что	CONJ
тем	CONJ
то	CONJ
то_бишь	CONJ
то_есть	CONJ
то_ли	CONJ
тогда	CONJ
тогда_как	CONJ
только	CONJ
тот	CONJ
точно	CONJ
хоть	CONJ
хотя	CONJ
чем	CONJ
что	CONJ
чтоб	CONJ
чтобы	CONJ
чуть	CONJ
более_того	H
больше_того	H
бывает	H
бывало	H
быть_может	H
в_общем	H
в_общем-то	H
в_общем_и_целом	H
в_особенности	H
в_принципе	H
в_случае_чего	H
в_сущности	H
в_т.ч.	H
в_частности	H
вестимо	H
видать	H
вместе_с_тем	H
впрочем	H
выходит	H
дай_бог	H
должно_быть	H
если_что	H
значит	H
имхо	H
к_слову_сказать	H
к_тому_же	H
кажись	H
как_говорится	H
короче	H
кроме_того	H
кроме_этого	H
мало_того	H
может	H
может_быть	H
может_статься	H
можно_сказать	H
на_худой_конец	H
наверно	H
наверное	H
однако	H
поди	H
пожалуй	H
почитай	H
правда	H
право	H
притом	H
разумеется	H
следовательно	H
стало_быть	H
так_сказать	H
таким_образом	H
тем_не_менее	H
тем_самым	H
чего_доброго	H
что_говорить	H
что_и_говорить	H
что_называется	H
вот	PART
ли	PART
электро—это	PART
абы	PART
аж	PART
б	PART
бишь	PART
будто	PART
бы	PART
было	PART
ведь	PART
вместе_с_тем	PART
во_всяком_случае	PART
вон	PART
вот	PART
вроде	PART
всего	PART
всех	PART
всё_же	PART
да	PART
даже	PART
дескать	PART
должно_быть	PART
ж	PART
же	PART
за	PART
и	PART
именно	PART
ка	PART
как	PART
как-то	PART
как_будто	PART
как_бы	PART
как_говорится	PART
кое	PART
кроме_того	PART
ладно	PART
ли	PART
лишь	PART
ль	PART
мало	PART
много	PART
мол	PART
нате	PART
не	PART
не_то_чтобы	PART
незнамо	PART
неизвестно	PART
нет	PART
неужели	PART
неужто	PART
нешто	PART
ни	PART
ну	PART
плиз	PART
пожалуйста	PART
пока	PART
попало	PART
прямо	PART
разве	PART
редко	PART
ровно	PART
словно	PART
так	PART
так_сказать	PART
таки	PART
там	PART
тем_более	PART
типа	PART
то	PART
только	PART
угодно	PART
уж	PART
ужели	PART
ужель	PART
хорошо	PART
хоть	PART
хоть_бы	PART
что	PART
что_ли	PART
что_ни_на_есть	PART
чуть_не	PART
это	PART
якобы	PART
